site,date,hi_pass,lo_pass,Myyu,Myca,Myci,Myvo,Mylu,Pahe,Anpa,Epfu,Lano,Coto,Myth,Tabr,Laci,Euma,year,area
CP1-038,7/22/2024,380,30,0,0,0,16,0,0,0,0,10,0,0,0,0,0,2024,CP1
CP1-038,7/23/2024,384,24,0,0,0,11,1,0,0,0,7,0,0,0,0,0,2024,CP1
CP1-038,7/24/2024,510,55,0,0,0,15,0,0,0,0,8,0,0,0,0,0,2024,CP1
CP1-038,7/25/2024,207,31,0,0,0,4,0,0,0,0,2,0,0,0,0,0,2024,CP1
CP1-038,7/26/2024,337,15,0,0,0,3,0,0,0,0,0,0,1,1,1,0,2024,CP1
CP1-038,7/27/2024,273,24,0,0,0,3,0,0,0,0,2,0,0,0,1,0,2024,CP1
CP1-038,7/28/2024,143,9,0,0,0,1,0,0,0,0,2,0,0,1,0,0,2024,CP1
CP1-038,7/29/2024,658,36,0,0,0,5,0,0,0,0,0,0,0,0,1,0,2024,CP1
CP1-038,7/30/2024,419,33,0,0,0,3,0,0,0,0,4,0,0,0,0,0,2024,CP1
CP1-038,7/31/2024,137,14,0,0,0,2,0,0,0,0,1,0,0,1,0,0,2024,CP1
CP1-038,8/1/2024,100,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2024,CP1
CP1-038,8/2/2024,129,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-038,8/3/2024,95,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-038,8/4/2024,449,9,0,0,0,6,0,0,0,0,2,0,1,0,0,0,2024,CP1
CP1-069,7/2/2024,16,7,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2024,CP1
CP1-069,7/3/2024,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2024,CP1
CP1-069,7/4/2024,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024,CP1
CP1-069,7/5/2024,5,9,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2024,CP1
CP1-069,7/6/2024,5,15,0,0,0,0,0,0,0,0,13,0,0,1,0,0,2024,CP1
CP1-069,7/7/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-069,7/8/2024,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-069,7/9/2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-069,7/10/2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-069,7/11/2024,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2024,CP1
CP1-069,7/12/2024,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024,CP1
CP1-069,7/13/2024,3,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2024,CP1
CP1-069,7/14/2024,4,38,0,0,0,0,0,0,0,0,21,1,0,1,0,0,2024,CP1
CP1-069,7/15/2024,2,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2024,CP1
CP1-069,7/16/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-069,7/17/2024,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024,CP1
CP1-069,7/18/2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-069,7/19/2024,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-069,7/20/2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-069,7/21/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-069,7/22/2024,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024,CP1
CP1-071,7/2/2024,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2024,CP1
CP1-071,7/3/2024,2,21,0,0,0,0,0,0,0,0,11,0,0,1,1,0,2024,CP1
CP1-071,7/4/2024,1,36,0,0,0,0,0,0,0,0,24,0,0,0,0,0,2024,CP1
CP1-071,7/5/2024,2,29,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2024,CP1
CP1-071,7/6/2024,0,34,0,0,0,0,0,0,0,0,13,0,0,0,3,0,2024,CP1
CP1-071,7/7/2024,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024,CP1
CP1-071,7/8/2024,2,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2024,CP1
CP1-071,7/9/2024,1,8,0,0,0,0,0,0,0,0,5,0,0,0,2,0,2024,CP1
CP1-071,7/10/2024,1,10,0,0,0,0,0,0,0,1,5,0,0,1,0,0,2024,CP1
CP1-071,7/11/2024,4,16,0,0,0,0,0,0,0,0,5,0,0,1,0,0,2024,CP1
CP1-071,7/12/2024,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024,CP1
CP1-071,7/13/2024,3,17,0,0,0,1,0,0,0,0,7,0,0,0,0,0,2024,CP1
CP1-071,7/14/2024,1,30,0,0,0,0,0,0,0,1,14,0,0,0,0,0,2024,CP1
CP1-071,7/15/2024,2,12,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2024,CP1
CP1-071,7/16/2024,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-072,7/2/2024,12,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2024,CP1
CP1-072,7/3/2024,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024,CP1
CP1-072,7/4/2024,7,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2024,CP1
CP1-072,7/5/2024,6,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2024,CP1
CP1-072,7/6/2024,5,18,0,0,0,0,0,0,0,0,10,0,0,1,0,0,2024,CP1
CP1-072,7/7/2024,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-072,7/8/2024,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2024,CP1
CP1-072,7/9/2024,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-072,7/10/2024,18,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2024,CP1
CP1-072,7/11/2024,4,4,0,0,0,1,0,0,0,0,2,0,0,1,0,0,2024,CP1
CP1-072,7/12/2024,11,15,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2024,CP1
CP1-072,7/13/2024,10,9,0,0,0,0,0,0,0,1,3,0,0,1,0,0,2024,CP1
CP1-072,7/14/2024,6,15,0,0,0,0,0,0,0,0,7,0,0,1,0,0,2024,CP1
CP1-072,7/15/2024,6,12,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2024,CP1
CP1-072,7/16/2024,13,5,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2024,CP1
CP1-072,7/17/2024,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-072,7/18/2024,11,17,0,0,0,0,0,0,0,0,5,0,0,4,0,0,2024,CP1
CP1-072,7/19/2024,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-072,7/20/2024,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-072,7/21/2024,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-072,7/22/2024,17,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2024,CP1
CP1-079,6/19/2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-079,6/20/2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2024,CP1
CP1-079,6/21/2024,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024,CP1
CP1-079,6/22/2024,1,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2024,CP1
CP1-079,6/23/2024,2,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2024,CP1
CP1-079,6/24/2024,0,8,0,0,0,0,0,0,0,0,5,0,0,0,1,0,2024,CP1
CP1-079,6/25/2024,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024,CP1
CP1-079,6/26/2024,0,11,0,0,0,0,0,0,0,0,5,0,0,0,1,0,2024,CP1
CP1-079,6/27/2024,1,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2024,CP1
CP1-079,6/28/2024,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
CP1-079,6/29/2024,3,8,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2024,CP1
CP1-079,6/30/2024,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2024,CP1
CP1-079,7/1/2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,CP1
