Site,Point Number,Zone,Lattitude,Longitude,Date Set,Date Pulled,TN,Set Type,Ult Mic AZ,Distance to Clutter,Cam Set,Detection Radius,Camera Lens AZ,Right Bearing,Left Bearing ,Detection Angle ,Green BA,Red BA,Grey BA,Shrub Cover,Total VO,Total Canopy Cover ,Majority Species
CP-007,007,CP,40.53952,-105.86966,2024-07-01,2024-07-17,16,Both,122,1,Tree,11,314,336,283,53,9,0,7,25,,,
CP-008,008,CP,40.58356,-106.00157,2024-07-03,2024-07-22,18.96230324,Both,284,,Tree,9,41,63,19,44,2,0,1,20,,,
CP-038,038,CP,40.40217,-105.63556,2024-07-22,2024-08-05,13.90333333,ARU Only,169,1,No Cam,,,,,0,16,0,3,10,,,
CP-045,045,CP,40.68795,-105.86034,2024-06-12,2024-07-01,19,Both,33,3,Tree,5,338,363,325,38,6,0,8,25,,,
CP-069,069,CP,40.76132,-105.81652,2024-07-02,2024-07-23,20.83769676,Both,348,1.5,Tree,9.4,15,400,336,64,8,0,10,10,,,
CP-071,071,CP,40.78024,-105.8732,2024-07-02,2024-07-17,15.00972222,Both,174,0.5,Tree,10,349,372,327,45,13,0,8,1,,,
CP-072,072,CP,40.76855,-105.82353,2024-07-02,2024-07-23,21,Both,306,2,Tree,7.3,341,380,308,72,4,0,4,10,,,
CP-085,085,CP,40.79932,-105.8278,2024-07-22,2024-08-12,20.84700231,Both,23,2,Tree,8.7,204,224,175,49,11,0,0,2,,,
CP-088,088,CP,40.79484,-105.78514,2024-07-23,2024-08-12,20.24878751,Both,135,3,Tree,9,136,159,57,102,4,0,1,3,,,
CP-090,090,CP,40.77589,-105.72847,2024-07-01,2024-07-23,22,Both,153,0.5,Tree,8,312,324,28,296,5,0,12,15,,,
CP-092,092,CP,40.76956,-105.70959,2024-07-23,2024-08-12,20.07697723,Both,182,0.5,Tree,9.6,53,81,32,49,7,0,2,1,,,
CP-10,10,CP,40.59894,-106.00373,2024-06-19,2024-07-22,32.96694444,Both,1,1,Tree,4.4,56,70,35,35,1,0,1,2,,,
CP-108,108,CP,40.68174,-105.53567,2024-05-22,2024-06-11,19.91559028,Both,284,,Tree,9,41,63,19,44,2,0,1,20,,,
CP-109,109,CP,40.79491,-105.68304,2024-07-24,2024-08-12,19.11227398,Both,286,2,Tree,7.3,161,182,136,46,11,0,0,1,,,
CP-111,111,CP,40.83468,-105.77262,2024-07-01,2024-07-23,21.98232639,Both,214,1.5,Tree,6.5,327,377,308,69,11,0,0,2,,,
CP-113,113,CP,40.69802,-105.52587,2024-07-03,2024-07-17,14,ARU Only,168,2,No Cam,,,,,0,10,0,0,40,,,
CP-79,79,CP,40.78486,-105.81378,2024-06-19,2024-07-02,13,Both,124,1,Tree,6.5,230,207,210,3,5,0,7,25,,,
CP-99,99,CP,40.81654,-105.80616,2024-06-19,2024-07-01,12,Both,0,1,Tree,7.5,14,412,353,59,13,0,0,,,,
CP-093,093,CP,40.57671,-105.48564,2024-06-10,2024-06-30,19.93259259,Both,206,1,Tree,7.8,354,376,222,154,4,1,2,15,,,
CP-101,101,CP,40.64461,-105.5127,2024-05-16,2024-06-10,25,Both,219,,Tree,4.5,33,4,39,35,3,0,0,1,,,
CP-086,086,CP,40.6274,-105.53858,2024-06-11,2024-06-19,7.929293981,Both,70,,Tree,6.8,3,387,342,45,8,0,1,1,,,
CP-091,091,CP,40.756,-105.68372,2024-07-24,2024-08-12,18.93260884,Both,146,1,Tree,7.4,65,88,48,40,0,0,15,1,,,
CP-096,096,CP,40.7569,-105.67184,2024-06-11,2024-07-02,21,Both,230,1,Tree,5,9,379,349,30,2,5,2,4,,,
CP-100,100,CP,40.66112,-105.5374,2024-05-29,2024-06-10,12,Both,235,,Tree,8.8,355,377,322,55,10,0,1,2,,,
CP-103,103,CP,40.7379,-105.61523,2024-07-03,2024-07-22,19.1137963,Both,105,5,Tree,5,17,390,330,60,0,0,7,1,,,
CP-104,104,CP,40.65762,-105.52076,2024-05-22,2024-06-10,19,Both,257,,Tree,3.5,29,41,1,40,5,0,1,1,,,
CP-115,115,CP,40.5654,-105.42302,2024-06-10,2024-06-19,9,Both,78,3,Tree,6,295,292,295,3,0,0,10,8,,,
CP-119,119,CP,40.55054,-105.39973,2024-06-10,2024-06-19,9,Both,206,0,Tree,5.5,321,322,309,13,0,0,4,70,,,
CP-59,59,CP,40.5768,-105.58742,2024-05-23,2024-06-30,38,Both,58,,Tree,7.6,43,31,65,34,0,0,8,1,,,
CP-60,60,CP,40.57789,-105.58111,2024-05-23,2024-06-30,38,Both,94,,Tree,5,19,40,16,24,0,0,1,1,,,
CP-031,031,CP,40.62012,-105.83293,2024-06-11,2024-07-02,21.19429398,Both,52,1,Tree,8.75,338,354,318,36,0,0,9,1,,,
CP-047,047,CP,40.6139,-105.71225,2024-07-23,2024-08-14,22,Both,77,1,Tree,10.4,25,60,1,59,0,0,0,1,,,
CP-062,062,CP,40.57135,-105.56974,2024-06-10,2024-06-30,20.00622685,Both,26,1,Tree,5.5,350,372,336,36,0,0,7,2,,,
CP-077,077,CP,40.64648,-105.59085,2024-06-30,2024-07-23,23,Cam Only,,,Tree,7.4,6,388,347,41,0,0,17,40,,,
CP-083,083,CP,40.74694,-105.70049,2024-07-23,2024-08-12,20.03449331,Both,256,1,Tree,7,63,90,45,45,0,0,10,1,,,
CP-084,084,CP,40.63814,-105.55308,2024-06-11,2024-06-19,8,Both,205,,Tree,5.6,322,336,312,24,0,0,7,1,,,
CP-087,087,CP,40.65642,-105.56223,2024-06-30,2024-07-23,23,Both,266,2,Tree,9.8,80,100,67,33,,,6,35,,,
CP-095,095,CP,40.76323,-105.69071,2024-07-24,2024-08-12,18.95350433,Both,332,1,Tree,7.1,295,312,270,42,0,0,22,1,,,
CP-106,106,CP,40.75238,-105.6292,2024-05-22,2024-06-11,20,Both,170,,Tree,11,39,427,321,106,0,0,12,1,,,
CP-116,116,CP,40.54747,-105.41245,2024-06-10,2024-06-30,20,Both,266,2,Tree,10,226,253,210,43,0,0,7,60,,,
CP-58,58,CP,40.58404,-105.59439,2024-05-23,2024-06-10,18.06087963,Both,239,,Tree,5.5,311,311,291,20,0,0,10,2,,,
CP-73,73,CP,40.58041,-105.54001,2024-05-23,2024-05-29,6,ARU Only,170,,No Cam,,,,,0,0,0,1,5,,,
CP-81,81,CP,40.60829,-105.5332,2024-05-23,2024-05-29,6,ARU Only,227,,No Cam,,,,,0,0,0,7,12,,,
CP-94,94,CP,40.6468,-105.53723,2024-05-29,2024-06-11,13.00420139,Both,276,,Tree,9.5,1,382,331,51,0,0,6,1,,,
CP-97,97,CP,40.64126,-105.52538,2024-05-22,2024-06-10,19.1275463,Both,64,,Tree,4.5,219,238,202,36,0,0,4,50,,,
ET-006,006,ET,40.02411,-106.09567,2024-06-26,2024-07-15,18.98819444,Both,357,0.5,Tree,3.75,269,273,253,20,6,0,0,40,,,
ET-008,008,ET,40.04764,-106.09305,2024-06-26,2024-07-15,19.09375,ARU Only,215,30,No Cam,,,,,0,0,0,0,80,,,
ET-020,020,ET,40.02788,-106.04865,2024-07-15,2024-08-07,22.8565162,Both,49,1.5,Tree,6,330,355,304,51,13,0,0,25,,,
ET-023,023,ET,40.02067,-106.04169,2024-06-26,2024-07-15,19.16041667,Both,218,3,Tree,4.5,30,32,15,17,0,0,0,40,,,
ET-084,084,ET,40.39114,-106.17167,2024-07-17,2024-08-07,21,Both,155,1,Tree,7.6,316,348,287,61,7,0,0,15,,,
ET-086,086,ET,40.32563,-106.01905,2024-07-17,2024-08-27,40.37569444,ARU Only,137,2,No Cam,,,,,0,3,0,6,12,,,
ET-1,1,ET,40.14571,-106.22601,2024-08-07,2024-08-26,19.06049769,Both,263,2,Tree,8.8,338,359,275,84,1,0,0,5,,,
ET-126,126,ET,40.43513,-106.01057,2024-06-13,2024-06-25,12.06431713,Both,140,,Tree,8,40,60,25,35,9,0,6,70,,,
ET-137,137,ET,40.33421,-105.81136,2024-07-16,2024-08-05,20.08805556,ARU Only,157,6,No Cam,,,,,0,5,0,1,1,,,
ET-139,139,ET,40.34236,-105.80651,2024-07-16,2024-08-05,20.07976852,Both,64,1,Tree,9.6,7,401,350,51,11,0,3,5,,,
ET-68,68,ET,40.35753,-106.2027,2024-08-07,2024-08-27,20,Both,252,0.5,Tree,7.5,127,155,103,52,0,0,0,0,,,
ET-72,72,ET,40.36474,-106.20871,2024-08-07,2024-08-27,20,Both,300,0.5,Tree,8.2,314,338,283,55,9,0,3,5,,,
ET-78,78,ET,40.38636,-106.23074,2024-08-07,2024-08-27,20,Both,331,1,Tree,7,249,279,236,43,4,0,0,1,,,
ET-79,79,ET,40.39981,-106.25658,2024-08-07,2024-08-27,20,Both,330,1,Tree,7.5,318,353,303,50,6,0,0,0,,,
ET-95,95,ET,40.12246,-105.83581,2024-06-03,2024-06-24,21,Both,111,,PVC,9.5,214,215,186,29,0,0,1,50,,,
ET-97,97,ET,40.13061,-105.83099,2024-06-03,2024-06-24,21,Both,75,,PVC,8.5,242,262,223,39,1,0,0,35,,,
ET-022,022,ET,40.1913,-106.14317,2024-07-16,2024-08-05,20,Both,220,4,Tree,8.5,166,195,156,39,4,0,2,15,,,
ET-025,025,ET,40.19946,-106.13837,2024-07-09,2024-08-05,27,Cam Only,,,Tree,12,290,320,262,58,15,0,1,4,,,
ET-14,14,ET,40.15334,-106.13182,2024-08-07,2024-08-26,19.00496528,Both,327,0.5,Tree,5,350,414,330,84,4,0,13,1,,,
ET-21,21,ET,40.18409,-106.13619,2024-08-05,2024-08-07,2.058680556,Both,267,1,Tree,7.5,280,308,256,52,0,0,0,0,,,
ET-40,40,ET,40.24937,-106.09777,2024-06-04,2024-06-25,21,Both,195,,Tree,7.8,264,308,260,48,1,0,7,30,,,
ET-7,7,ET,40.14423,-106.14839,2024-08-07,2024-08-26,19,Both,298,7,Tree,7.7,174,148,210,62,0,0,0,1,,,
ET-Trail Creek,Trail Creek,ET,40.28342,-106.0925,2024-06-25,2024-07-17,22.75,Both,92,1,Tree,7,120,107,143,36,0,0,6,4,,,
ET-120,120,ET,40.1,-105.81468,2024-06-04,2024-06-24,20,Both,198,2,Tree,9.4,16,43,14,29,0,0,12,2,,,
ET-011,011,ET,40.15239,-106.14359,2024-07-16,2024-08-05,20,Both,210,7,Tree,6,38,67,18,49,0,0,0,1,,,
ET-077,077,ET,40.25972,-105.96804,2024-06-26,2024-07-15,19,Both,140,3,Tree,5.3,339,361,318,43,0,0,8,1,,,
ET-081,081,ET,40.28953,-105.98415,2024-06-26,2024-07-15,18.99037037,Both,343,7,PVC,6,34,34,9,25,0,0,1,1,,,
ET-082,082,ET,40.2688,-105.95142,2024-06-13,2024-06-26,13,Both,201,,Tree,5.75,286,292,258,34,0,0,8,1,,,
ET-083,083,ET,40.27603,-105.9584,2024-06-26,2024-07-16,20,Both,180,2,Tree,8.7,16,373,323,50,0,0,14,1,,,
ET-107,107,ET,40.28346,-105.86401,2024-06-04,2024-06-12,8,Both,205,,Tree,6.6,271,300,265,35,0,0,0,45,,,
ET-116,116,ET,40.26362,-105.81952,2024-06-04,2024-06-24,20,Both,190,2,Tree,5,312,339,268,71,0,0,15,2,,,
ET-123,123,ET,40.30884,-105.83769,2024-07-16,2024-08-05,20.1468287,Both,173,0.5,Tree,5,340,339,297,42,0,0,11,15,,,
ET-127,127,ET,40.30976,-105.82588,2024-06-04,2024-06-12,8.095555556,Both,92,,Tree,10,42,50,14,36,0,0,5,1,,,
ET-66,66,ET,40.31181,-106.09469,2024-06-03,2024-06-25,22,Both,665,,Tree,4.9,21,397,354,43,0,0,8,1,,,
MU-033,033,MU,40.93406,-106.18969,2024-07-09,2024-08-01,22.88686343,Both,168,1,Tree,7.2,27,44,11,33,11,0,0,0,,,
MU-100,100,MU,41.03491,-106.09573,2024-07-31,2024-08-20,19.92800926,Cam Only,,,Tree,6.6,22,32,3,29,0,0,7,15,,,
MU-101,101,MU,41.17918,-106.23726,2024-06-27,2024-07-09,11.91091435,Cam Only,,,Tree,8.9,325,322,287,35,6,0,9,10,,,
MU-120,120,MU,41.06034,-106.06922,2024-07-31,2024-08-20,20,Both,5,5,Tree,16.2,70,100,40,60,0,0,0,4,,,
MU-125,125,MU,41.28768,-106.43464,2024-07-08,2024-07-29,21,Both,197,1,Tree,8,11,400,345,55,11,0,1,60,,,
MU-127,127,MU,41.29488,-106.44176,2024-07-29,2024-08-19,20.25,Both,192,0.5,Tree,6,350,360,317,43,6,0,0,3,,,
MU-132,132,MU,41.26762,-106.29854,2024-07-09,2024-07-30,20.89649306,Cam Only,,,Tree,8.9,62,91,57,34,19,0,2,45,,,
MU-134,134,MU,41.25513,-106.26042,2024-06-27,2024-07-02,5.75,Both,58,3,Tree,9.5,24,175,128,47,6,0,1,5,,,
MU-138,138,MU,41.26858,-106.28659,2024-07-09,2024-07-30,20.66505787,Both,248,1,Tree,6.8,334,405,316,89,13,0,0,1,,,
MU-139,139,MU,41.29353,-106.36287,2024-07-29,2024-08-19,20.85533565,Both,344,2,Tree,7.3,104,122,78,44,6,0,0,1,,,
MU-141,141,MU,41.30171,-106.35802,2024-07-29,2024-08-19,21,Both,163,0.5,Tree,8.4,3,393,345,48,22,0,3,2,,,
MU-142,142,MU,41.31942,-106.42724,2024-06-18,2024-07-08,19.92819444,Both,195,1,Tree,7.7,174,148,210,62,8,0,0,4,,,
MU-143,143,MU,41.31417,-106.39619,2024-06-18,2024-07-08,20,Both,98,6,Tree,7.7,174,148,210,62,7,0,11,5,,,
MU-145,145,MU,41.3387,-106.38165,2024-07-08,2024-07-29,21.09880787,Both,310,4,Tree,11.6,318,347,296,51,1,0,1,30,,,
MU-27,27,MU,40.97108,-106.2131,2024-05-27,2024-06-17,21,Both,114,,Tree,6.8,16,400,345,55,9,0,10,30,,,
MU-41,41,MU,40.98837,-106.1915,2024-05-28,2024-06-17,19.84041667,Both,138,,Tree,11,315,336,290,46,9,0,3,20,,,
